,name,height,diameter,opened,closed,country,location,number_of_cabins,passengers_per_cabin,seating_capacity,hourly_capacity,ride_duration_minutes,climate_controlled,construction_cost,status,design_manufacturer,type,vip_area,ticket_cost_to_ride,official_website,turns
1,360 Pensacola Beach,200.0,Unrecorded,2012-07-03,2013-01-01,USA,Pensacola Beach; Florida,42.0,6.0,252.0,1260.0,12.0,Yes,Unrecorded,Moved,Realty Masters of FL,Transportable,Yes,0.0,Website does not exit,4.0
6,Beijing Great Wheel,692.64,642.7,TBD,TBD,China,Chaoyang Park; Beijing,48.0,40.0,1920.0,5760.0,20.0,yes,$290 million USD,Delayed,The Great Wheel Corporation,Fixed,No,0.0,Website does not exit,1.0
7,Belfast Wheel,199.8,Unrecorded,2007-01-01,TBD,Ireland,Belfast,42.0,8.0,336.0,1550.0,13.0,Yes,$13 million USD,Defunct,World Tourist Attractions,Transportable,Yes,Adults – 13; VIP – 110 & 140,http://www.belfastcity.gov.uk/cityhall/bigwheel.asp,1.0
9,Brighton Wheel,160.0,148.0,2011-10-24,TBD,UK,Brighton; United Kingdom,36.0,8.0,288.0,1440.0,12.0,Yes,$9 million USD,Operating,Paramount Attractions,Transportable,Yes,0.0,http://www.brightonwheel.com/,3.0
10,Changsha Ferris Wheel,394.0,325.0,2004-10-01,TBD,China,Changsha; Hunan,48.0,8.0,384.0,1152.0,20.0,Yes,Unrecorded,Operating,,Fixed,No,8.15,http://changshahua.com/entertainment/outdoor-activities/changsha-ferris-wheel/,
11,Chicago Wheel,264.0,75.0,1893-01-01,1906-01-01,USA,Chicago; Illinois,36.0,20.0,720.0,2160.0,20.0,No,Unrecorded,Defunct,George Ferris,Fixed,No,0.0,Website does not exit,
12,Colossus,180.0,165.0,1984-01-01,TBD,USA,Six Flags St Louis; Eureka; Missouri,32.0,10.0,320.0,1280.0,15.0,No,Unrecorded,Operating,Carousel Holland B.V.,Fixed,No,Included in Park Admission,http://www.sixflags.com/stLouis/rides/Colossus.aspx,
13,Cosmo Clock 21,369.0,328.0,1999-03-18,TBD,Japan,Minato Mirai 21; Yokohama,60.0,8.0,480.0,1920.0,15.0,No,Unrecorded,Operating,,Fixed,No,6.93,http://www.senyo.co.jp/cosmo/attraction/001.html,
14,Daikanransha,377.0,328.0,1999-01-01,TBD,Japan,Palette Town; Odaiba,64.0,6.0,384.0,1440.0,16.0,No,Unrecorded,Operating,,Fixed,No,8.87,http://www.daikanransha.com/,
15,Diamond and Flower Ferris Wheel,384.0,364.17,2001-01-01,TBD,Japan,Kasai Rinkai Park; Tokyo,68.0,6.0,408.0,1440.0,17.0,Yes,Unrecorded,Operating,Senyo,Fixed,No,6.93,http://www.senyo.co.jp/kasai/,
18,Eye of the Emirates,197.0,Unrecorded,2005-01-01,TBD,UAE,Sharjah,42.0,8.0,336.0,3360.0,6.0,Yes,$6.8 million USD,Operating,,,No,Adults – 8.17; Children – 4.08,http://www.alqasba.ae/eyeofemirates.aspx,
19,Eye on Malaysia (1),197.0,Unrecorded,2007-01-06,TBD,Malaysia,Kuala Lumpur (Malacca Island),42.0,8.0,336.0,1680.0,12.0,No,$9.89 million USD,Defunct,Fitraco NV,Transportable,No,Adults – 4.94; Children – 2.64,Website does not exit,
22,Great Smoky Mountain Skywheel,200.0,Unrecorded,2013-01-01,TBD,USA,Pigeon Forge; Tennessee,42.0,8.0,336.0,1680.0,12.0,Yes,Unrecorded,Operating,,,Yes,Adults – 13; Children -9; VIP – 50,http://islandinpigeonforge.com/,4.0
24,Golden Gate Flyer,728.0,700.0,TBD,TBD,USA,Treasure Island; San Francisco; California,36.0,40.0,1400.0,,30.0,Yes,Estimated Between $650 and $750 million USD,In development,Arup Group (London Eye; High Roller; Singapore Flyer),Fixed,Yes,Estimated $38,https://www.goldengateflyer.com/,1.0
27,HEP Five Wheel,347.77,246.06,1998-01-01,TBD,Japan,HEP Five building; Osaka; Honshu,52.0,4.0,208.0,832.0,15.0,Yes,Unrecorded,Operating,,,No,4.94,http://www.hepfive.jp/,
28,High Roller,550.0,520.0,2013-01-01,TBD,USA,Las Vegas Strip; Nevada,28.0,40.0,1120.0,2240.0,30.0,No,Unrecorded,Under Construction,Arup Engineering,,No,25,http://www.caesars.com/thelinq/,
31,London Eye,443.0,394.0,2000-03-09,TBD,UK,South Bank; Lambeth; London,32.0,25.0,800.0,1600.0,30.0,Yes,$113 million USD,Operating,Arup Engineering,Fixed,Yes,28,http://www.londoneye.com/,
32,Mall of Asia Eye,180.0,Unrecorded,2011-12-18,TBD,Phillippines,Mall of Asia; Pasay; Metro Manila,36.0,6.0,216.0,1296.0,10.0,Yes,Unrecorded,Operating,,Fixed,Yes,Regular – 3.55 VIP – 5.92,http://www.smstoryland.com/SMBYamusementpark/moa-eye,
34,Mickey's Fun Wheel,160.0,150.0,2001-02-08,TBD,USA,Disney California Adventure Park,24.0,6.0,144.0,960.0,9.0,No,Unrecorded,Operating,Walt Disney Imagineering/Waagner Biro,Eccentric,No,0.0,http://disneyland.disney.go.com/disney-california-adventure/mickeys-fun-wheel/,
35,Miramar Ferris Wheel,316.0,233.0,2004-01-01,TBD,Taiwan,Miramar Entertainment Park; Taipei,48.0,6.0,288.0,1016.0,17.0,Yes,$10 million USD,Operating,Miramar City Development Holdings Ltd.,,No,Weekdays – 5.01 Weekends – 6.68,http://www.miramar.com.tw/,
36,Moscow-850,240.0,70.0,1997-01-01,TBD,Russia,VVC; Moscow,40.0,8.0,320.0,2742.0,7.0,Yes,Unrecorded,Operating,MIR / Pax Company,Fixed,No,0.0,Website does not exit,1.0
37,Myrtle Beach Sky Wheel,187.0,Unrecorded,2011-05-20,TBD,USA,Myrtle Beach; South Carolina,42.0,6.0,252.0,1512.0,10.0,Yes,$12 million USD,Operating,Chance,Fixed,Yes,Adults – 13 Children -9 VIP – 50,http://myrtlebeachskywheel.com/,3.0
38,Navy Pier Ferris Wheel,150.0,140.0,1995-07-01,TBD,USA,Chicago; Illinois,40.0,6.0,240.0,2057.0,7.0,No,$3.2 million USD,Operating,Vekoma,Fixed,No,6,http://www.navypier.com/things2do/rides_attract/pier_park.html,
