,state,race,type,all_workers_n,artists_n,artists_share,location_quotient
0,Alabama,Hispanic,Architects,88165,45.0,0.0005104066239437419,0.875351830553428
1,Alaska,Hispanic,Architects,26875,15.0,0.0005581395348837209,0.957214190892936
2,Arizona,Hispanic,Architects,1033370,270.0,0.0002612810513175339,0.4480992914875193
3,Arkansas,Hispanic,Architects,101405,,,
4,California,Hispanic,Architects,7470730,3870.0,0.0005180216658880726,0.8884116941856948
5,Colorado,Hispanic,Architects,594525,200.0,0.00033640301080694674,0.5769341099813051
6,Connecticut,Hispanic,Architects,288845,150.0,0.0005193096643528536,0.8906206228339648
7,Delaware,Hispanic,Architects,41365,0.0,,
8,District of Columbia,Hispanic,Architects,44885,185.0,0.0041216442018491,7.068655906347059
9,Florida,Hispanic,Architects,2752995,2900.0,0.0010533982081333,1.8065871533298148
10,Georgia,Hispanic,Architects,467240,370.0,0.0007918842564848899,1.358088435734902
11,Hawaii,Hispanic,Architects,69470,40.0,0.000575788109975529,0.9874816517536648
12,Idaho,Hispanic,Architects,101285,0.0,,
13,Illinois,Hispanic,Architects,1100445,700.0,0.0006361063024503724,1.0909278801559588
14,Indiana,Hispanic,Architects,212120,75.0,0.0003535734489911371,0.6063815618576197
15,Iowa,Hispanic,Architects,90730,,,
16,Kansas,Hispanic,Architects,167495,25.0,0.0001492581868115466,0.2559790976869723
17,Kentucky,Hispanic,Architects,76325,,,
18,Louisiana,Hispanic,Architects,113925,65.0,0.0005705508009655475,0.978499620929616
19,Maine,Hispanic,Architects,10935,,,
20,Maryland,Hispanic,Architects,321570,205.0,0.0006374972789750287,1.0933134170788672
21,Massachusetts,Hispanic,Architects,401715,375.0,0.0009334976289160226,1.600956609800957
22,Michigan,Hispanic,Architects,236520,105.0,0.0004439370877727042,0.7613559938344899
23,Minnesota,Hispanic,Architects,149745,75.0,0.0005008514474606832,0.8589646191942187
24,Mississippi,Hispanic,Architects,38780,0.0,,
25,Missouri,Hispanic,Architects,121550,75.0,0.0006170300287947347,1.0582119037535027
26,Montana,Hispanic,Architects,19215,,,
27,Nebraska,Hispanic,Architects,99485,0.0,,
28,Nevada,Hispanic,Architects,430565,,,
29,New Hampshire,Hispanic,Architects,25860,,,
30,New Jersey,Hispanic,Architects,928940,735.0,0.0007912244063125714,1.3569567869099568
31,New Mexico,Hispanic,Architects,459615,130.0,0.000282845424975251,0.4850823811860209
32,New York,Hispanic,Architects,1819490,1830.0,0.0010057763439205,1.7249152391000857
33,North Carolina,Hispanic,Architects,451040,70.0,0.0001551968783256474,0.2661640056487726
34,North Dakota,Hispanic,Architects,14510,0.0,,
35,Ohio,Hispanic,Architects,204545,225.0,0.0011000024444498,1.8865138268044432
36,Oklahoma,Hispanic,Architects,187725,110.0,0.0005859635104541217,1.00493255269756
37,Oregon,Hispanic,Architects,266060,85.0,0.0003194768097421634,0.5479055269039692
38,Pennsylvania,Hispanic,Architects,423215,185.0,0.000437130063915504,0.7496818882988262
39,Rhode Island,Hispanic,Architects,78695,,,
40,South Carolina,Hispanic,Architects,134610,45.0,0.00033429908624916426,0.5733258609370996
41,South Dakota,Hispanic,Architects,15565,,,
42,Tennessee,Hispanic,Architects,167595,20.0,0.00011933530236582236,0.2046610887774906
43,Texas,Hispanic,Architects,5220455,2585.0,0.0004951675668117051,0.8492167140979117
44,Utah,Hispanic,Architects,213410,,,
45,Vermont,Hispanic,Architects,6470,0.0,,
46,Virginia,Hispanic,Architects,427525,345.0,0.0008069703526109584,1.3839612227254456
47,Washington,Hispanic,Architects,448570,210.0,0.00046815435717948144,0.8028888229785034
48,West Virginia,Hispanic,Architects,12005,0.0,,
49,Wisconsin,Hispanic,Architects,186120,55.0,0.0002955082742316785,0.5067992785706789
50,Wyoming,Hispanic,Architects,27680,0.0,,
51,Puerto Rico,Hispanic,Architects,1208905,870.0,0.0007196595265963827,
52,Alabama,White,Architects,1496830,945.0,0.0006313342196508622,0.4925132700967393
53,Alaska,White,Architects,253950,225.0,0.0008860011813349084,0.6911827769610649
54,Arizona,White,Architects,1857110,2420.0,0.0013030999779226,1.0165677883651123
55,Arkansas,White,Architects,1014735,450.0,0.0004434655353368121,0.3459540987731032
56,California,White,Architects,7686845,15935.0,0.0020730221566845,1.617195598769122
57,Colorado,White,Architects,2172170,4625.0,0.0021292071983316,1.661026390338466
58,Connecticut,White,Architects,1329540,2670.0,0.0020082133670291,1.5666372923591978
59,Delaware,White,Architects,307920,270.0,0.0008768511301636789,0.6840446851491132
60,District of Columbia,White,Architects,183365,820.0,0.0044719548441632,3.4886388785354097
61,Florida,White,Architects,5285390,5425.0,0.0010264143232571,0.8007211696857847
62,Georgia,White,Architects,2773560,3545.0,0.0012781407288827,0.9970967047754676
63,Hawaii,White,Architects,177700,505.0,0.0028418683173888,2.2169839913881706
64,Idaho,White,Architects,688065,830.0,0.0012062813832995,0.941038154203376
65,Illinois,White,Architects,4224420,6630.0,0.001569446219836,1.2243484764692587
66,Indiana,White,Architects,2724985,1165.0,0.0004275252891300319,0.3335188742262854
67,Iowa,White,Architects,1463250,830.0,0.0005672304800956775,0.4425049838181759
68,Kansas,White,Architects,1178420,1495.0,0.0012686478505117,0.9896911683359354
69,Kentucky,White,Architects,1787115,1015.0,0.0005679544964929509,0.4430697998416476
70,Louisiana,White,Architects,1337315,1410.0,0.0010543514430033,0.8225153347650912
71,Maine,White,Architects,658985,455.0,0.0006904557766868745,0.538634881254012
72,Maryland,White,Architects,1690500,3295.0,0.0019491274770777,1.5205435056282357
73,Massachusetts,White,Architects,2791055,5250.0,0.0018810091524531,1.4674033814750302
74,Michigan,White,Architects,3807850,2595.0,0.0006814869283191303,0.5316381484600217
75,Minnesota,White,Architects,2524705,3040.0,0.0012041010731946,0.9393372616711132
76,Mississippi,White,Architects,787155,435.0,0.0005526230539093317,0.4311095121095261
77,Missouri,White,Architects,2479115,2735.0,0.0011032162687087,0.8606355163611616
78,Montana,White,Architects,472695,500.0,0.0010577645204624,0.8251779275537665
79,Nebraska,White,Architects,845465,755.0,0.0008929997102186,0.6966424340477627
80,Nevada,White,Architects,749805,555.0,0.0007401924500370096,0.5774352042413436
81,New Hampshire,White,Architects,690940,540.0,0.0007815439835586303,0.6096941541989606
82,New Jersey,White,Architects,2640925,3860.0,0.001461609095298,1.140223122273451
83,New Mexico,White,Architects,374900,705.0,0.0018805014670578,1.4670073285027714
84,New York,White,Architects,5774960,12660.0,0.0021922229764362,1.7101859416124958
85,North Carolina,White,Architects,3309215,3445.0,0.0010410323898568,0.8121249421400664
86,North Dakota,White,Architects,363175,325.0,0.000894885385833276,0.6981134778062036
87,Ohio,White,Architects,4775955,3580.0,0.000749588302234841,0.5847650491115595
88,Oklahoma,White,Architects,1276415,900.0,0.0007050998303843185,0.5500589266320512
89,Oregon,White,Architects,1600140,2625.0,0.0016404814578724,1.2797641284146355
90,Pennsylvania,White,Architects,5161830,5100.0,0.0009880216899820413,0.7707705020783875
91,Rhode Island,White,Architects,423445,505.0,0.001192598802678,0.9303641683564048
92,South Carolina,White,Architects,1586190,1680.0,0.0010591417169443,0.8262522991334538
93,South Dakota,White,Architects,398225,190.0,0.0004771172076087639,0.372206271772768
94,Tennessee,White,Architects,2455855,1685.0,0.0006861154261957648,0.5352489089002173
95,Texas,White,Architects,6162190,9200.0,0.001492975711557,1.1646926888908826
96,Utah,White,Architects,1227970,1280.0,0.0010423707419562,0.8131690106358223
97,Vermont,White,Architects,319270,415.0,0.0012998402605944,1.0140248341089766
98,Virginia,White,Architects,2778485,4330.0,0.0015584032305375,1.2157336753040378
99,Washington,White,Architects,2668545,4735.0,0.0017743751744864,1.3842166199197734
100,West Virginia,White,Architects,734535,150.0,0.00020421082725806123,0.1593079215279167
101,Wisconsin,White,Architects,2597700,2125.0,0.0008180313354120953,0.6381584832645677
102,Wyoming,White,Architects,260685,330.0,0.0012658956211519,0.9875441130364933
103,Puerto Rico,White,Architects,13370,75.0,0.0056095736724008,
104,Alabama,African-American,Architects,581200,,,
105,Alaska,African-American,Architects,13760,0.0,,
106,Arizona,African-American,Architects,152575,0.0,,
107,Arkansas,African-American,Architects,200385,0.0,,
108,California,African-American,Architects,1066265,390.0,0.00036576273252896793,1.3951438264127312
109,Colorado,African-American,Architects,118415,,,
110,Connecticut,African-American,Architects,191785,,,
111,Delaware,African-American,Architects,105485,0.0,,
112,District of Columbia,African-American,Architects,149480,150.0,0.001003478726251,3.827610156413955
113,Florida,African-American,Architects,1569980,360.0,0.00022930228410553,0.8746371283926032
114,Georgia,African-American,Architects,1613775,360.0,0.0002230794255704792,0.8509010232738885
115,Hawaii,African-American,Architects,16455,0.0,,
116,Idaho,African-American,Architects,5195,0.0,,
117,Illinois,African-American,Architects,848255,230.0,0.00027114487978261256,1.0342390611437546
118,Indiana,African-American,Architects,292355,,,
119,Iowa,African-American,Architects,56060,0.0,,
120,Kansas,African-American,Architects,83690,100.0,0.0011948858883976,4.557702363331007
121,Kentucky,African-American,Architects,176080,,,
122,Louisiana,African-American,Architects,656860,50.0,7.61197210973419e-05,0.2903465813013214
123,Maine,African-American,Architects,8410,0.0,,
124,Maryland,African-American,Architects,957780,605.0,0.0006316690680532064,2.409401292846364
125,Massachusetts,African-American,Architects,260415,110.0,0.0004224027033773016,1.611187995568186
126,Michigan,African-American,Architects,624375,65.0,0.0001041041041041041,0.3970885637824413
127,Minnesota,African-American,Architects,171180,,,
128,Mississippi,African-American,Architects,488460,120.0,0.00024567006510256724,0.937069428294244
129,Missouri,African-American,Architects,340530,,,
130,Montana,African-American,Architects,2855,0.0,,
131,Nebraska,African-American,Architects,45795,0.0,,
132,Nevada,African-American,Architects,125635,0.0,,
133,New Hampshire,African-American,Architects,9675,0.0,,
134,New Jersey,African-American,Architects,584190,255.0,0.0004365018230370256,1.6649668472710737
135,New Mexico,African-American,Architects,19190,0.0,,
136,New York,African-American,Architects,1375735,615.0,0.00044703376740433295,1.7051392756171122
137,North Carolina,African-American,Architects,1079195,130.0,0.00012046015780280672,0.45947613176796
138,North Dakota,African-American,Architects,12445,0.0,,
139,Ohio,African-American,Architects,680665,125.0,0.00018364393644450648,0.7004806159916626
140,Oklahoma,African-American,Architects,134195,,,
141,Oregon,African-American,Architects,39020,,,
142,Pennsylvania,African-American,Architects,636035,40.0,6.288962085419828e-05,0.239882466082635
143,Rhode Island,African-American,Architects,31000,0.0,,
144,South Carolina,African-American,Architects,638810,80.0,0.00012523285483946714,0.4776808262703114
145,South Dakota,African-American,Architects,8670,0.0,,
146,Tennessee,African-American,Architects,554550,30.0,5.409791723018664e-05,0.2063479095413427
147,Texas,African-American,Architects,1699445,675.0,0.0003971884938906525,1.5150123998207714
148,Utah,African-American,Architects,16855,0.0,,
149,Vermont,African-American,Architects,4210,0.0,,
150,Virginia,African-American,Architects,837445,365.0,0.0004358495184758402,1.662478735168492
151,Washington,African-American,Architects,147305,,,
152,West Virginia,African-American,Architects,29055,0.0,,
153,Wisconsin,African-American,Architects,160610,,,
154,Wyoming,African-American,Architects,2975,0.0,,
155,Puerto Rico,African-American,Architects,1405,0.0,,
156,Alabama,Asian,Architects,33515,,,
157,Alaska,Asian,Architects,26420,0.0,,
158,Arizona,Asian,Architects,120580,370.0,0.0030685022391773,1.477912737791206
159,Arkansas,Asian,Architects,24295,,,
160,California,Asian,Architects,3008795,5880.0,0.0019542707296442,0.941254520709793
161,Colorado,Asian,Architects,97015,250.0,0.002576921094676,1.241147704401128
162,Connecticut,Asian,Architects,89425,95.0,0.0010623427453173,0.5116665241950311
