,Unnamed: 0,name,height,diameter,opened,closed,country,location,number_of_cabins,passengers_per_cabin,seating_capacity,hourly_capacity,ride_duration_minutes,climate_controlled,construction_cost,status,design_manufacturer,type,vip_area,ticket_cost_to_ride,official_website,turns
0,1,360 Pensacola Beach,200.0,,2012-07-03,2013-01-01,USA,Pensacola Beach; Florida,42.0,6.0,252.0,1260.0,12.0,Yes,Unknown,Moved,Realty Masters of FL,Transportable,Yes,,,4.0
1,2,Amuran,303.0,199.8,2004-01-01,,Japan,Kagoshima; Kyushu,36.0,,,,14.5,Yes,Unknown,Operating,,,,,,1.0
2,3,Asiatique Sky,200.0,200.0,2012-12-15,,Tailand,Asiatique the Riverfront,42.0,,,,,Yes,Unknown,Operating,Dutch Wheels (Vekoma),,,,http://www.asiatiquesky.com/,
3,4,Aurora Wheel,295.0,272.0,,,Japan,Nagashima Spa Land; Mie; Honshu,,,,,,,Unknown,Operating,,Fixed,,,http://www.nagashima-onsen.co.jp/,
4,5,Baghdad Eye,180.0,,2011-01-01,,Iraq,Al-Zawraa Park; Baghdad,40.0,6.0,240.0,960.0,15.0,,$6 million USD,Operating,,,,3.5,,
5,6,Beijing Great Wheel,692.64,642.7,,,China,Chaoyang Park; Beijing,48.0,40.0,1920.0,5760.0,20.0,yes,$290 million USD,Delayed,The Great Wheel Corporation,Fixed,,,,1.0
6,7,Belfast Wheel,199.8,,2007-01-01,,Ireland,Belfast,42.0,8.0,336.0,1550.0,13.0,Yes,$13 million USD,Defunct,World Tourist Attractions,Transportable,Yes,Adults – 13; VIP – 110 & 140,http://www.belfastcity.gov.uk/cityhall/bigwheel.asp,1.0
7,8,Big O,197.0,200.0,2006-01-01,,Japan,Tokyo Dome City,,,,,15.0,Yes,Unknown,Operating,,Centerless,,7.87,http://www.tokyo-dome.co.jp/e/attractions/,
8,9,Brighton Wheel,160.0,148.0,2011-10-24,,UK,Brighton; United Kingdom,36.0,8.0,288.0,1440.0,12.0,Yes,$9 million USD,Operating,Paramount Attractions,Transportable,Yes,,http://www.brightonwheel.com/,3.0
9,10,Changsha Ferris Wheel,394.0,325.0,2004-10-01,,China,Changsha; Hunan,48.0,8.0,384.0,1152.0,20.0,Yes,Unknown,Operating,,Fixed,,8.15,http://changshahua.com/entertainment/outdoor-activities/changsha-ferris-wheel/,
10,11,Chicago Wheel,264.0,75.0,1893-01-01,1906-01-01,USA,Chicago; Illinois,36.0,20.0,720.0,2160.0,20.0,No,Unknown,Defunct,George Ferris,Fixed,,,,
11,12,Colossus,180.0,165.0,1984-01-01,,USA,Six Flags St Louis; Eureka; Missouri,32.0,10.0,320.0,1280.0,15.0,No,Unknown,Operating,Carousel Holland B.V.,Fixed,No,Included in Park Admission,http://www.sixflags.com/stLouis/rides/Colossus.aspx,
