Subject,Cat#,Component,Section,GenEd,Title,Max Size,Campus,Acad Org,Class Stat,Course Topic,Instr Name,Instr Name 2,Instr Name 3
CSC,101,LEC,1,GE,Computing Concepts,35,URI,COMP_SCIEN,A,,"Fay-Wolfe,Victor",,
CSC,101,LEC,2,GE,Computing Concepts,35,ONLIN,COMP_SCIEN,A,,"Fay-Wolfe,Victor",,
CSC,101,LEC,3,GE,Computing Concepts,35,ONLIN,COMP_SCIEN,A,,Staff,,
CSC,101,LEC,L01,GE,Computing Concepts,35,ONLIN,COMP_SCIEN,A,,"Fay-Wolfe,Victor",,
CSC,104,LEC,1,GE,Puzzles+Games=Analytical Think,40,URI,COMP_SCIEN,A,,"Mandal,Indrani",,
CSC,106,LEC,1,GE,The Joy of Programming,30,URI,COMP_SCIEN,A,,"Fay-Wolfe,Victor",,
CSC,106,LEC,2,GE,The Joy of Programming,30,URI,COMP_SCIEN,A,,Staff,,
CSC,106,LEC,L01,GE,The Joy of Programming,30,ONLIN,COMP_SCIEN,A,,"Fay-Wolfe,Victor",,
CSC,106,LEC,L02,GE,The Joy of Programming,30,ONLIN,COMP_SCIEN,A,,"Fay-Wolfe,Victor",,
CSC,110,LEC,1,,Survey of Computer Science,120,URI,COMP_SCIEN,A,,"Dipippo,Lisa B",,
CSC,110,LEC,L01,,Survey of Computer Science,40,URI,COMP_SCIEN,A,,"Dipippo,Lisa B",,
CSC,110,LEC,L02,,Survey of Computer Science,40,URI,COMP_SCIEN,A,,"Dipippo,Lisa B",,
CSC,110,LEC,L03,,Survey of Computer Science,40,URI,COMP_SCIEN,A,,"Dipippo,Lisa B",,
CSC,200,LEC,1,,Prob Solv/Sci & Engineering,35,URI,COMP_SCIEN,A,,Staff,,
CSC,200,LEC,L01,,Prob Solv/Sci & Engineering,35,URI,COMP_SCIEN,A,,Staff,,
CSC,201,LEC,1,GE,Intro Computer Programming,35,URI,COMP_SCIEN,A,,Staff,,
CSC,201,LEC,L01,GE,Intro Computer Programming,35,URI,COMP_SCIEN,A,,"Armenti,Samantha M",,
CSC,211,LEC,1,,Computer Programming,95,URI,COMP_SCIEN,A,,"Conti,Michael Alexander",,
CSC,211,LEC,L01,,Computer Programming,60,URI,COMP_SCIEN,A,,"Conti,Michael Alexander",,
CSC,211,LEC,L02,,Computer Programming,60,URI,COMP_SCIEN,A,,"Conti,Michael Alexander",,
CSC,212,LEC,1,,Data Structures & Abstractions,100,URI,COMP_SCIEN,A,,Staff,,
CSC,212,LEC,L01,,Data Structures & Abstractions,50,URI,COMP_SCIEN,A,,Staff,,
CSC,212,LEC,L02,,Data Structures & Abstractions,50,URI,COMP_SCIEN,A,,Staff,,
CSC,301,LEC,1,,Fundamentals of Program Lang,70,URI,COMP_SCIEN,A,,"Armenti,Samantha M",,
CSC,305,LEC,1,GE,Software Engineering,30,URI,COMP_SCIEN,A,,Staff,,
CSC,305,LEC,2,GE,Software Engineering,30,URI,COMP_SCIEN,A,,Staff,,
CSC,305,LEC,P01,GE,Software Engineering,30,URI,COMP_SCIEN,A,,Staff,,
CSC,305,LEC,P02,GE,Software Engineering,30,URI,COMP_SCIEN,A,,Staff,,
CSC,310,LEC,1,,Programming for Data Science,30,URI,COMP_SCIEN,A,,"Hamel,Lutz",,
CSC,310,LEC,2,,Programming for Data Science,30,URI,COMP_SCIEN,A,,"Mandal,Indrani",,
CSC,320,LEC,1,,Social Issues in Computing,35,URI,COMP_SCIEN,A,,"Venkatasubramanian,Krishna Kumar",,
CSC,320,LEC,2,,Social Issues in Computing,35,URI,COMP_SCIEN,A,,Staff,,
CSC,340,LEC,1,,Applied Combinatorics,30,URI,COMP_SCIEN,A,,"Lamagna,Edmund A",,
CSC,372,LEC,1,,Dynamic Web Design & Program,20,URI,COMP_SCIEN,A,,Staff,,
CSC,372,LEC,L01,,Dynamic Web Design & Program,20,URI,COMP_SCIEN,A,,Staff,,
CSC,392,LEC,1,,Intermediate Top. Computing,30,URI,COMP_SCIEN,A,,Staff,,
CSC,411,LEC,1,,Computer Organization,40,URI,COMP_SCIEN,A,,"Daniels,Noah M",,
CSC,411,LEC,2,,Computer Organization,50,URI,COMP_SCIEN,A,,"Alvarez Vega,Marco A",,
CSC,411,LEC,P01,,Computer Organization,40,URI,COMP_SCIEN,A,,"Daniels,Noah M",,
CSC,411,LEC,P02,,Computer Organization,50,URI,COMP_SCIEN,A,,"Alvarez Vega,Marco A",,
CSC,412,LEC,1,,Operating Systems and Networks,45,URI,COMP_SCIEN,A,,"Herve,Jean-Yves",,
CSC,412,LEC,P01,,Operating Systems and Networks,23,URI,COMP_SCIEN,A,,"Herve,Jean-Yves",,
CSC,412,LEC,P02,,Operating Systems and Networks,22,URI,COMP_SCIEN,A,,"Herve,Jean-Yves",,
CSC,436,LEC,1,,Database Management Systems,50,URI,COMP_SCIEN,A,,Staff,,
CSC,436,LEC,P01,,Database Management Systems,50,URI,COMP_SCIEN,A,,Staff,,
CSC,440,LEC,1,,Design & Analysis of Algorithm,35,URI,COMP_SCIEN,A,,"Daniels,Noah M",,
CSC,447,LEC,1,,Discrete Mathematical Struct,30,URI,COMP_SCIEN,A,,"Kinnersley,William B",,
CSC,450,LEC,1,,Scientific Computing,15,URI,COMP_SCIEN,A,,"Herve,Jean-Yves",,
CSC,477,PRA,1,,Computer Science Internship,30,URI,COMP_SCIEN,A,,"Mandal,Indrani",,
CSC,502,LEC,1,,Theory of Compilers,25,URI,COMP_SCIEN,A,,"Hamel,Lutz",,
CSC,522,LEC,1,,Bioinformatics I,25,URI,COMP_SCIEN,A,,"Hemme,Christopher L","Martin,Lenore M",
CSC,550,LEC,1,,Computer Algebra,20,URI,COMP_SCIEN,A,,"Lamagna,Edmund A",,
CSC,561,LEC,1,,Neural Networks &Deep Learning,30,URI,COMP_SCIEN,A,,"Alvarez Vega,Marco A",,
CSC,592,LEC,2,,Special Topics in Computer Sci,30,URI,COMP_SCIEN,A,,"Venkatasubramanian,Krishna Kumar",,
